anchor,month_end,const,log_DEX,z_DXY,z_VIX,log_S_nonUSD,Pol_anchor_l1,sigma_offpeg_l1,tail1_l1,dlog_usd_per_anchor,N_anchor_fc
JPY,2028-01-31,1.0,24.383233583515743,0.7270187893581846,-1.1162459491768576e-05,20.2867812816152,3.0,6.834188916959533,1.0,-0.012305198001912387,2
SGD,2028-01-31,1.0,24.383233583515743,0.7270187893581846,-1.1162459491768576e-05,20.2867812816152,2.0,0.22625520366662322,0.967741935483871,-0.004894686655439301,1
AUD,2028-02-29,1.0,24.350746853847028,0.7270187893581846,-7.497365435326294e-06,20.276341098184695,1.0,9.197434523024127,0.967741935483871,-0.0010620022892219305,1
CAD,2028-02-29,1.0,24.350746853847028,0.7270187893581846,-7.497365435326294e-06,20.276341098184695,2.0,0.2701830570576552,0.9666666666666667,-0.005822031691538476,1
CHF,2028-02-29,1.0,24.350746853847028,0.7270187893581846,-7.497365435326294e-06,20.276341098184695,2.0,1.6605546206111352,1.0,-0.0028307697692661836,3
CNY,2028-02-29,1.0,24.350746853847028,0.7270187893581846,-7.497365435326294e-06,20.276341098184695,-1.0,19.439895252955598,1.0,0.001101761436823212,1
EUR,2028-02-29,1.0,24.350746853847028,0.7270187893581846,-7.497365435326294e-06,20.276341098184695,3.0,12.424833278640502,0.9786407766990292,-0.0039465327746739665,14
GBP,2028-02-29,1.0,24.350746853847028,0.7270187893581846,-7.497365435326294e-06,20.276341098184695,2.0,4.967505954602229,1.0,-0.009480026943746823,2
JPY,2028-02-29,1.0,24.350746853847028,0.7270187893581846,-7.497365435326294e-06,20.276341098184695,3.0,6.834188916959533,1.0,-0.012305198001912387,2
SGD,2028-02-29,1.0,24.350746853847028,0.7270187893581846,-7.497365435326294e-06,20.276341098184695,2.0,0.22625520366662322,0.967741935483871,-0.004894686655439301,1
AUD,2028-03-31,1.0,24.318260124178316,0.7270187893581846,-5.035672336561838e-06,20.26589865559135,1.0,9.197434523024127,0.967741935483871,-0.0010620022892219305,1
CAD,2028-03-31,1.0,24.318260124178316,0.7270187893581846,-5.035672336561838e-06,20.26589865559135,2.0,0.2701830570576552,0.9666666666666667,-0.005822031691538476,1
CHF,2028-03-31,1.0,24.318260124178316,0.7270187893581846,-5.035672336561838e-06,20.26589865559135,2.0,1.6605546206111352,1.0,-0.0028307697692661836,3
CNY,2028-03-31,1.0,24.318260124178316,0.7270187893581846,-5.035672336561838e-06,20.26589865559135,-1.0,19.439895252955598,1.0,0.001101761436823212,1
EUR,2028-03-31,1.0,24.318260124178316,0.7270187893581846,-5.035672336561838e-06,20.26589865559135,3.0,12.424833278640502,0.9786407766990292,-0.0039465327746739665,14
GBP,2028-03-31,1.0,24.318260124178316,0.7270187893581846,-5.035672336561838e-06,20.26589865559135,2.0,4.967505954602229,1.0,-0.009480026943746823,2
JPY,2028-03-31,1.0,24.318260124178316,0.7270187893581846,-5.035672336561838e-06,20.26589865559135,3.0,6.834188916959533,1.0,-0.012305198001912387,2
SGD,2028-03-31,1.0,24.318260124178316,0.7270187893581846,-5.035672336561838e-06,20.26589865559135,2.0,0.22625520366662322,0.967741935483871,-0.004894686655439301,1
AUD,2028-04-30,1.0,24.2857733945096,0.7270187893581846,-3.3822542198145313e-06,20.255454569054557,1.0,9.197434523024127,0.967741935483871,-0.0010620022892219305,1
CAD,2028-04-30,1.0,24.2857733945096,0.7270187893581846,-3.3822542198145313e-06,20.255454569054557,2.0,0.2701830570576552,0.9666666666666667,-0.005822031691538476,1
CHF,2028-04-30,1.0,24.2857733945096,0.7270187893581846,-3.3822542198145313e-06,20.255454569054557,2.0,1.6605546206111352,1.0,-0.0028307697692661836,3
CNY,2028-04-30,1.0,24.2857733945096,0.7270187893581846,-3.3822542198145313e-06,20.255454569054557,-1.0,19.439895252955598,1.0,0.001101761436823212,1
